id;street_address;city;state_province
1;Ingeniería Programa;Marietta;payment Ouguiya Electrónica
2;multi-byte cross-platform;Gerona Luzburgh;e-enable Uruguayo
3;Hormigon auxiliary El;Tiradomouth;bricks-and-clicks neural
4;e-commerce Re-contextualizado Normas;Benalmádena Juan Carlosfort;Hogar
5;Gris;León Maytestad;Diverso
6;Fuerte Música;Patiñoside;Hormigon Vanuatu Plástico
7;transmitting;Leganés Jorge Luis;e-services
8;Mali en RAM;Orense Carla;Azerbayán
9;Artesanal;Carson;Tácticas infomediaries Alemania
10;synthesize;Ana Luisaberg;Funcionario calculating Cine
